id	germany	english
44	beliebteste	Popular
12	klimaschutz	Climate Protection
1	tierschutz	Animals
2	kinder	Children and Youths
3	bildung	Education
8	fluechtlingshilfe	Refugees
5	umweltschutz	Environment
16	frauen	Women
4	gesundheit	Health
6	kultur	Culture
7	katastrophenschutz	Disaster Prevention
9	hunger	Food
10	obdachlose	Homelessness
11	menschenrechte	Human Rights
13	senioren	Seniors
14	entwicklungshilfe	International Aid
15	sport	Sport
17	inklusion	Inclusion
18	integration	Integration
19	trinkwasser	Drinking Water
20	technologie	Technology
21	forschung	Research
22	infrastruktur	Infrastructure
23	nothilfe_syrien	Humanitarian Aid to Syria
24	hungerhilfe_afrika	Famine in Africa
25	seenotrettung	Sea Rescue Missions
26	politische_bildung	Civic Education
27	rohingya	Emergency Aid for the Rohingya
28	jemen	Emergency Aid Yemen
30	religion	Religion
46	seelische-gesundheit	Mental Health
45	nothilfe-indonesien	Emergency Relief Indonesia
